brand,band_min,band_max,cupNum_min,cupNum_max,keywords,styles
Charlott,32,46,1,7,keywords,styles
Charnos,30,44,1,10,keywords,styles
Cheek,32,40,1,6,keywords,styles
Chic By Change,28,44,1,10,keywords,styles
City Chic,36,46,2,10,keywords,styles
Claudette,28,38,1,8,keywords,styles
Cleo,28,38,2,11,keywords,styles
Cleo Swimwear,28,38,4,10,keywords,styles
Clo Intimo,32,36,2,4,keywords,styles
Closer Evie,32,34,1,7,keywords,styles
Colesce Couture,34,38,9,11,keywords,styles
Comexim,24,48,1,20,keywords,styles
Comfort Choice,36,56,2,7,keywords,styles
Condessa,32,40,2,5,keywords,styles
Contrante,30,34,5,5,keywords,styles
Conturelle,30,50,1,9,keywords,styles
Core 10,30,46,1,8,keywords,styles
Corin,28,44,1,12,keywords,styles
Cortland Foundations,32,48,2,8,keywords,styles
Cosabella,32,38,0,5,keywords,styles
Cosmopolitan,32,38,1,4,keywords,styles
Cotton Cloud,30,42,0,3,keywords,styles
Cotton On Body,30,36,1,5,keywords,styles
Cottonique,32,44,1,5,keywords,styles
Creaciones Selene,30,46,1,5,keywords,styles
Creem,32,40,1,5,keywords,styles
Crème Bralée,30,46,3,11,keywords,styles
Crystelle,32,36,5,5,keywords,styles
Cubus,30,40,1,4,keywords,styles
Curvation,34,44,3,6,keywords,styles
Curvy Couture,32,46,3,8,keywords,styles
Curvy Kate,28,46,4,11,keywords,styles
Custom Fit Bra Company,28,52,2,14,keywords,styles
Cuup,30,38,1,8,keywords,styles
Cwx,34,38,1,6,keywords,styles
Dacapo,28,34,6,6,keywords,styles
Dainty Lady,28,44,-2,2,keywords,styles
Daisy Fuentes,34,38,1,4,keywords,styles
Dama Kier,28,40,1,9,keywords,styles
Danskin Now,32,42,1,5,keywords,styles
Darjeeling,30,38,1,7,keywords,styles
Debenhams,28,40,0,11,keywords,styles
Decent Exposures,26,54,0,13,keywords,styles
Deja Day,30,40,4,8,keywords,styles
Delimira,30,46,1,10,keywords,styles
Delta Burke,36,38,3,4,keywords,styles
Desiderata,32,36,2,4,keywords,styles
Desu,32,40,1,7,keywords,styles
Dim,32,38,3,4,keywords,styles
Dimanche,30,38,2,4,keywords,styles
Dimity So,30,38,4,8,keywords,styles
Dirty Pretty Things,30,36,1,5,keywords,styles
Discover Mademoiselle,28,38,1,5,keywords,styles
Dita Von Teese,30,38,1,6,keywords,styles
Dkaren,30,38,1,6,keywords,styles
Dkny,30,38,1,7,keywords,styles
Dominique,30,52,1,9,keywords,styles
Donna Karan,32,38,1,8,keywords,styles
Donna L'oren,34,38,2,3,keywords,styles
Dorina,32,42,3,7,keywords,styles
Dreams And Underthings,24,40,1,8,keywords,styles
Due Lune,30,48,1,18,keywords,styles
Edwards & Millers,26,34,5,13,keywords,styles
Ekouaer,30,40,1,7,keywords,styles
Elie Pour Elle,30,48,1,8,keywords,styles
Elila,32,54,1,15,keywords,styles
Elita,32,38,1,4,keywords,styles
Elle Macpherson Intimates,30,38,1,7,keywords,styles
Ellen Amber,40,44,2,4,keywords,styles
Ellen Tracy,36,38,2,4,keywords,styles
Ellesmere Lingerie,30,36,1,7,keywords,styles
Ellice Lydia,22,42,0,8,keywords,styles
Ellos,32,42,4,4,keywords,styles
Elomi,32,48,2,12,keywords,styles
Emily B,30,40,2,10,keywords,styles
Emma Harris,28,36,1,7,keywords,styles
Emma-jane,32,40,3,11,keywords,styles
Emporio Armani,32,38,1,4,keywords,styles
Empreinte,28,50,3,8,keywords,styles
Enamor,32,40,2,4,keywords,styles
